,pitch_type,release_speed,release_pos_x,release_pos_z,player_name,zone,game_type,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,inning,vx0,vy0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,release_pos_y,at_bat_number,pitch_number,pitch_name,spin_axis,delta_home_win_exp,delta_run_exp
18993,KC,80.8,-1.25,5.89,"Bauer, Trevor",14.0,R,L,R,S,0,2,0.85,-1.73,1.08,-1.33,8,3.5587698945800184,-117.37992391438247,6.966359301974574,26.491716246550048,-46.87573460421624,3.28,1.72,80.1,2881.0,6.4,54.15,59,3,Knuckle Curve,23.0,0.004,-0.159
18994,KC,79.6,-1.44,5.91,"Bauer, Trevor",13.0,R,L,R,S,0,1,0.64,-1.6,-0.32,1.4,8,1.2417161301508322,-115.86545513169882,5.482094405162799,24.608533650260377,-46.6765950394357,3.28,1.72,79.1,2842.0,6.2,54.26,59,2,Knuckle Curve,22.0,0.0,-0.053
18995,KC,78.1,-1.38,5.99,"Bauer, Trevor",7.0,R,L,R,S,0,0,0.73,-1.65,-0.33,1.79,8,0.9012780735401488,-113.64405870418192,6.083765214711164,23.45835162458464,-46.75265430625179,3.28,1.72,77.6,2866.0,6.2,54.29,59,1,Knuckle Curve,24.0,0.0,-0.0409999999999999
18996,SL,79.5,-1.73,5.58,"Bauer, Trevor",3.0,R,R,R,X,0,0,1.57,-0.03,0.28,3.19,8,1.4667984900557425,-115.77662917590384,13.702231448416132,23.366871765983127,-33.03021238339635,3.55,1.63,79.2,2793.0,6.2,54.3,58,1,Slider,52.0,-0.002,0.139
18997,KC,77.8,-1.28,5.98,"Bauer, Trevor",14.0,R,L,R,S,1,2,0.84,-1.68,0.54,0.82,8,2.3641136631239066,-113.20332697459249,6.601856984097723,25.20790714929379,-46.443170046081846,3.17,1.52,77.2,3061.0,6.4,54.12,57,4,Knuckle Curve,21.0,0.003,-0.118
18998,SL,77.7,-1.86,5.58,"Bauer, Trevor",4.0,R,L,R,S,1,1,1.62,-0.13,-0.65,2.38,8,-0.3917392183501219,-113.17962755633776,13.955214476320698,21.729330489987262,-33.574569209493234,3.17,1.52,77.3,2743.0,6.1,54.41,57,3,Slider,53.0,0.0,-0.044
18999,FF,92.3,-1.46,5.76,"Bauer, Trevor",3.0,R,L,R,S,1,0,-0.7,1.64,0.36,2.79,8,6.162869925976434,-134.15924055719574,-9.844381771099236,30.613649822357157,-11.4760580354739,3.31,1.48,92.0,2605.0,6.3,54.23,57,2,4-Seam Fastball,211.0,0.0,-0.033
19000,SL,77.9,-1.93,5.56,"Bauer, Trevor",8.0,R,L,R,B,0,0,1.33,0.22,0.25,1.46,8,2.2234945825943044,-113.3957384336169,11.013340969655486,21.8700837277232,-30.032976867738743,3.09,1.29,77.6,2664.0,6.2,54.29,57,1,Slider,55.0,0.0,0.027
19001,FF,90.6,-1.59,5.64,"Bauer, Trevor",2.0,R,L,R,X,0,0,-0.82,1.61,-0.05,3.18,8,5.588604972824661,-131.85266486843594,-10.712747308903555,28.95258612935518,-12.785677454973811,3.3,1.5,90.6,2604.0,6.4,54.11,56,1,4-Seam Fastball,209.0,0.006,-0.25
19016,SL,79.4,-1.82,5.59,"Bauer, Trevor",8.0,R,R,R,X,1,1,1.59,-0.16,0.23,1.93,7,1.5113010648953078,-115.68973692866822,13.954740043172473,22.06418371646248,-33.608577400044226,3.41,1.63,79.4,2821.0,6.3,54.24,52,3,Slider,51.0,0.003,-0.108
