,pitch_type,release_speed,release_pos_x,release_pos_z,player_name,zone,game_type,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,inning,vx0,vy0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,release_pos_y,at_bat_number,pitch_number,pitch_name,spin_axis,delta_home_win_exp,delta_run_exp
16707,FF,97.4,-0.88,5.83,"Buehler, Walker",11.0,R,L,R,S,3,2,-0.36,1.62,-0.37,3.65,4,2.1679097625447548,-141.99909363451627,-5.3140115162646175,29.20198404374537,-9.394246733953452,3.38,1.65,97.9,2567.0,6.2,54.27,27,6,4-Seam Fastball,198.0,0.035,-0.344
16708,KC,84.6,-0.72,5.78,"Buehler, Walker",14.0,R,L,R,B,2,2,1.05,-1.41,1.24,-1.41,4,2.4545812839115664,-123.01217473473604,10.031896386310091,27.990668095152877,-44.848984462229005,3.47,1.7,84.4,3240.0,6.5,53.99,27,5,Knuckle Curve,22.0,-0.01,0.062
16709,FF,97.7,-1.02,5.66,"Buehler, Walker",9.0,R,L,R,S,2,1,-0.35,1.53,0.66,2.08,4,5.325439280871299,-142.06598564277192,-5.887839005216727,30.8864316800454,-9.929056231312185,3.38,1.65,98.0,2427.0,6.4,54.09,27,4,4-Seam Fastball,204.0,0.0,-0.064
16710,FF,96.9,-1.19,5.67,"Buehler, Walker",4.0,R,L,R,S,2,0,-0.56,1.64,-0.59,2.83,4,2.8796749571834006,-141.0165653477971,-8.11832828959646,31.24821000215013,-9.180267903637768,3.38,1.65,97.3,2508.0,6.5,54.02,27,3,4-Seam Fastball,205.0,0.0,-0.05
16711,KC,82.6,-0.89,5.76,"Buehler, Walker",14.0,R,L,R,B,1,0,1.16,-1.2,1.95,0.16,4,4.1907351147400655,-120.2421171079234,10.333656648068477,25.44610017529992,-43.12541380174903,3.49,1.7,82.6,3291.0,6.5,54.03,27,2,Knuckle Curve,24.0,0.0,0.044
16712,FF,98.3,-1.19,5.6,"Buehler, Walker",13.0,R,L,R,B,0,0,-0.69,1.7,-0.13,0.77,4,4.4839688114810095,-142.6208060373265,-10.465286620748191,33.05525877948692,-6.438617618200165,3.45,1.67,98.3,2731.0,6.5,54.02,27,1,4-Seam Fastball,204.0,0.0,0.033
16713,FF,98.8,-0.86,5.68,"Buehler, Walker",14.0,R,R,R,B,3,2,-0.41,1.75,0.98,1.95,4,5.988331309936322,-143.50571157397508,-7.091387978370055,33.936388328769745,-6.072593519979254,3.3,1.56,99.0,2658.0,6.6,53.93,26,9,4-Seam Fastball,202.0,-0.0139999999999999,0.1159999999999999
16714,FF,97.7,-0.89,5.68,"Buehler, Walker",3.0,R,R,R,S,3,2,-0.61,1.56,0.34,3.26,4,4.724029212338677,-142.13618782839256,-9.370335445242471,32.61666933234749,-10.10513899680853,3.3,1.57,97.8,2632.0,6.3,54.16,26,8,4-Seam Fastball,201.0,0.0,0.0
16715,FF,97.6,-0.82,5.8,"Buehler, Walker",8.0,R,R,R,S,3,2,-0.56,1.6,-0.26,1.75,4,2.8019034554916904,-141.8963629871662,-8.27590539444102,33.7990227385268,-8.736222403236052,3.3,1.57,97.6,2719.0,6.4,54.07,26,7,4-Seam Fastball,199.0,0.0,0.0
16716,SL,89.1,-0.86,5.62,"Buehler, Walker",14.0,R,R,R,B,2,2,1.09,0.26,1.44,2.05,4,3.3786081897630003,-129.87762615063602,11.786521314435053,25.03846152604609,-28.705407459262236,3.34,1.58,89.9,2797.0,6.5,54.02,26,6,Slider,275.0,0.0,0.039
