,pitch_type,release_speed,release_pos_x,release_pos_z,player_name,zone,game_type,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,inning,vx0,vy0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,release_pos_y,at_bat_number,pitch_number,pitch_name,spin_axis,delta_home_win_exp,delta_run_exp
4007,KC,78.7,-1.75,5.01,"Nola, Aaron",3.0,R,L,R,B,3,2,1.32,-0.8,0.64,3.24,4,2.78261438206385,-114.28298903115268,10.794176910483529,24.61795180499001,-40.36728812991248,3.17,1.5,79.1,2514.0,7.1,53.4,36,8,Knuckle Curve,61.0,0.009,0.2
4008,FF,91.9,-1.76,4.86,"Nola, Aaron",11.0,R,L,R,B,2,2,-1.16,1.09,-0.26,3.75,4,6.434379185655253,-133.65511055886472,-15.273898090011311,31.948581428311428,-19.630551596958284,3.3,1.5,93.1,2125.0,7.3,53.24,36,7,4-Seam Fastball,235.0,0.0,0.062
4009,CH,84.6,-1.91,4.79,"Nola, Aaron",13.0,R,L,R,B,1,2,-1.43,-0.02,-0.83,0.84,4,5.419227609072681,-123.02712812867604,-15.584106865704255,26.17209610738675,-32.053979043975936,3.32,1.55,85.1,1541.0,6.8,53.72,36,6,Changeup,263.0,0.0,0.039
4010,FF,93.5,-1.74,4.88,"Nola, Aaron",1.0,R,L,R,S,1,2,-1.36,1.18,-0.65,3.1,4,5.936696514747107,-135.92752504463434,-18.197998416612062,33.55128610626825,-17.51362062839284,3.18,1.46,94.6,2195.0,7.3,53.23,36,5,4-Seam Fastball,233.0,0.0,0.0
4011,KC,79.2,-1.75,4.94,"Nola, Aaron",5.0,R,L,R,S,1,2,1.13,-1.07,0.06,2.16,4,1.8793531919275923,-115.09766100025936,9.409375246495712,26.29555341237229,-42.44461614726209,3.18,1.46,79.6,2590.0,7.2,53.32,36,4,Knuckle Curve,56.0,0.0,0.0
4012,KC,79.0,-1.81,4.93,"Nola, Aaron",13.0,R,L,R,S,1,1,1.11,-1.09,-0.89,1.67,4,-0.091824015140091,-114.86852054369037,9.696917583009297,25.840606751684827,-42.341548553114535,3.17,1.49,79.0,2526.0,6.9,53.64,36,3,Knuckle Curve,57.0,0.0,-0.057
4013,CH,85.2,-1.99,4.75,"Nola, Aaron",14.0,R,L,R,B,0,1,-1.32,-0.06,0.53,0.48,4,8.65395775674504,-123.66019694372406,-15.296609843989067,26.07044058619913,-32.25567040778872,3.35,1.61,85.7,1569.0,6.9,53.61,36,2,Changeup,259.0,0.0,0.023
4014,CH,84.7,-1.97,4.77,"Nola, Aaron",7.0,R,L,R,S,0,0,-1.39,0.49,-0.72,1.79,4,5.810383768337187,-123.2139445918737,-15.310758995685552,27.063083748674703,-27.13717711126524,3.18,1.46,85.8,1448.0,7.3,53.22,36,1,Changeup,255.0,0.0,-0.0409999999999999
4015,KC,77.1,-1.75,5.04,"Nola, Aaron",11.0,R,L,R,X,3,2,0.95,-0.87,-0.87,2.99,4,0.1301826899241464,-112.00912429490135,7.8790127939140415,23.99371354297225,-40.56333266329679,3.24,1.54,77.2,2481.0,6.9,53.62,35,7,Knuckle Curve,58.0,-0.012,-0.314
4016,FF,92.5,-1.69,4.91,"Nola, Aaron",11.0,R,L,R,B,2,2,-1.19,1.13,-1.01,4.09,4,4.40147329616292,-134.52373440527776,-15.359006256512382,33.37661661073141,-19.190906696570632,3.24,1.55,93.3,2178.0,7.1,53.35,35,6,4-Seam Fastball,230.0,0.0,0.065
4017,CH,84.0,-1.97,4.75,"Nola, Aaron",13.0,R,L,R,B,1,2,-1.37,0.14,-1.07,1.54,4,4.851077860797608,-122.1511080014057,-14.683903796669892,26.17623633273665,-30.70856864632532,3.25,1.6,84.4,1524.0,6.8,53.71,35,5,Changeup,255.0,0.0,0.037
4018,SI,92.6,-1.7,4.86,"Nola, Aaron",11.0,R,L,R,B,0,2,-1.5,0.8,-1.21,2.84,4,4.603298194974844,-134.6814247103055,-19.26229908772498,32.30873521688249,-22.475317533774422,3.23,1.58,93.6,2105.0,7.1,53.35,35,4,Sinker,229.0,0.0,0.016
4019,KC,79.1,-1.69,4.93,"Nola, Aaron",9.0,R,L,R,S,0,2,1.16,-0.84,0.53,1.67,4,2.6983624777027337,-115.0450771321136,9.58229137159719,25.23377535694773,-40.08690874909621,3.24,1.54,79.4,2593.0,7.0,53.52,35,3,Knuckle Curve,53.0,0.0,0.0
4020,FF,92.1,-1.86,4.86,"Nola, Aaron",1.0,R,L,R,S,0,1,-1.33,1.14,-0.5,3.03,4,6.484186771168692,-133.92768512511697,-17.481486952499665,32.7728410059621,-18.486303060946994,3.24,1.54,93.1,2259.0,7.2,53.25,35,2,4-Seam Fastball,233.0,0.0,-0.059
